Breed,Bred,BW,ADG,DMI,TDN,NEm,NEG,ME,RDP,RUP,CPa,Ca,P
N/a,N/a,lbs,lb/d,lb/d,%,Mcal/d,Mcal/d,Mcal/d,%,%,%,% of DM,% of DM
large,bred,1212.75,2.2,26.68,68.3,8.84,4.46,29.8,10.4,3.6,14.1,0.529,0.256
large,bred,1212.75,2.4,26.46,70.5,8.84,4.95,30.5,10.8,3.7,14.5,0.550,0.267
large,bred,1323,1.1,28.67,58.6,9.5,2.24,27.5,9,2.9,11.8,0.408,0.215
large,bred,1323,1.3,28.67,60.3,9.5,2.74,28.4,9.2,3,12.2,0.423,0.223
large,bred,1323,1.5,28.67,62.1,9.5,3.24,29.3,9.5,3,12.5,0.446,0.231
large,bred,1323,1.8,28.67,64,9.5,3.75,30.1,9.8,3.1,12.9,0.462,0.231
large,bred,1323,2.0,28.67,66,9.5,4.27,30.9,10.1,3.2,13.3,0.485,0.238
large,bred,1323,2.2,28.44,68,9.5,4.79,31.7,10.4,3.3,13.7,0.504,0.248
large,bred,1323,2.4,28.22,70.2,9.5,5.32,32.5,10.7,3.4,14.1,0.531,0.258
large,bred,1433.25,1.1,30.43,58.4,10.14,2.39,29.1,8.9,2.7,11.6,0.391,0.210
large,bred,1433.25,1.3,30.43,60.1,10.14,2.92,30.1,9.2,2.8,12,0.413,0.217
large,bred,1433.25,1.5,30.43,61.9,10.14,3.46,31,9.5,2.8,12.3,0.428,0.225
large,bred,1433.25,1.8,30.43,63.8,10.14,4,31.9,9.8,2.9,12.7,0.449,0.225
large,bred,1433.25,2.0,30.43,65.8,10.14,4.56,32.7,10.1,3,13,0.464,0.232
large,bred,1433.25,2.2,30.21,67.8,10.14,5.11,33.6,10.4,3,13.4,0.489,0.241
large,bred,1433.25,2.4,29.99,70,10.14,5.68,34.4,10.7,3.1,13.8,0.507,0.250
